no,tweet,label
1,"Peristiwa menarik sudah terjadi di DPD RI. Sebetulnya apa yg jadi sasaran tembaknya? Ya, UU MD3 !
#DPDRI #UUMD3 #DPD @DPDRI",0
2,#GaduhPolitik #UUMD3 VS #GBHN akan segera muncul pasca Rakernas PDIP  | Kayak iklan rokok... Ga Gaduh Ga Rame ,0
3,Partai Pemenang Rasa Pecundang karena #UUMD3 sampai2 Mereka Lupa kalau Sang RI1 yg Selalu mereka recokin adalah kader mereka #OposisiSejati,0
4,"""@didienAZHAR: PDIP Isyaratkan Tak Restui Pelantikan Pimpinan Baru DPR RI http://news.detik.com/berita/3114231 …"" hahahaha...masih dendam ya ??? #UUMD3",0
5,"Presiden dipilih langsung oleh rakyat, lalu DPR bisa melengserkan apa yang sudah dipilih oleh rakyat?
#UUMD3 #DPR",0
6,"Emmmm.. gemana buat uum3 kegitu, tp bisa di revisi pa ngak ya...? #UUMD3",1
7,".. Akankah #UUMD3 Direvisi utk Kocok Ulang Pimpinan DPR? http://detik.id/6Fo8Rgx  | SEHARUSNYA begitu, jika #DPR mau adil & benar",1
8,"Andai SN diberhentikan dari Ketua DPR, yang gantiin juga dari Golkar....#UUMD3",1
9, ganti pimpinan DPR #UUMD3 #SaveDPR #MKDpic.twitter.com/jzaKnsjtqv,0
10,"Sidang Putusan Sanksi Setya Novanto. Lawannnnn (Akbar Faisal)
#MKD #UUMD3 #saveDPR",0
11,Ketua DPR: Kenaikan Harga Beras Medium Harus Segera Dihentikan,1
12,#LilyWahid Ajuakan Judicial Review #UUMD3 ke #MK http://dlvr.it/36VQNm ,1
13,"PDIP Mendadak Lesu, Tak Yakin Revisi UU MD3 Bisa Gol #UUMD3 http://jpnn.co/486905 ",0
14,"#body #status Dewibet Jkt -  PKB: Kalau Mau Jujur, PDIP Berhak Jadi Pimpinan… http://dlvr.it/MrRtMm  #uumd3 #surabaya #TeamK #wanita #dewipic.twitter.com/p5waCucD4N",1
15,PDIP Minta Pimpinan DPR Segera Inisiasi Revisi UU MD3 #UUMD3 http://jpnn.co/484212 ,1
16,Safari @jokowi ke berbagai elemen disadari ato tdk disadari sbnrnya krn kesalahan @PDI_Perjuangan yg tdk bs menguasai ketua @DPR_RI .#UUMD3,0
17,"wkwkwk...@DPR_RI lucu...anggota independen, hayu ganti #uumd3 @Gerindra @Fraksi_PAN @FPPP_DPRRI @FPD_DPR @kompascomhttps://twitter.com/kompascom/status/740482015078682626 …",0
18,Cc @Fahrihamzah “@hafidz_ary: pimpinan DPR bs diberhentikan dg sebab ditarik / diberhentikan oleh partainya. #UUMD3 pic.twitter.com/0xCMqSCa6A”,0
19,Ya enggak bisalah oum... QT @hafidz_ary: pimpinan DPR bs diberhentikan dg sebab ditarik atau diberhentikan oleh partainya. #UUMD3 …,1
20,"betul pimpinan DPR adalah wakil lembaga, tp dia diusulkan oleh fraksi dan bs diberhentikan oleh partai. #UUMD3 pic.twitter.com/MngnuV1aaA",1
21,3. pasal 87 ayat d sdh cukup bg partai utk memberhentikan kadernya yg jd pimpinan DPR. #UUMD3 pic.twitter.com/SdUDEOO2DN,0
22,2. pimpinan DPR bs diganti krn diberhentikan oleh partai politiknya . #UUMD3 pic.twitter.com/bZ4AAr0QJ7,0
23,"1. bakal calon pimpinan DPR diusulkan oleh fraksi , fraksi atas persetujuan partai . #UUMD3 pic.twitter.com/ggmiN1rCAw",1
24,2. Coba perhatikan tugas #PimpinanDPR..dia mewakili lembaga bukan partai. #UUMD3 pic.twitter.com/gYKlGHUiOp,1
25,RT @ronaldrofiandri: Talkshow @ Makassar TV ttg revisi #UUMD3 @zainalamochtar ; Hasrullah (dosen sospol Unhas) ; ... http://tmi.me/cIM9Y,1
26,Keren. RT @ronaldrofiandri: Menuju SoeHat Airport. Mengawali kegiatan pendidikan politik & revisi #UUMD3 dari Timur Indonesia,1
27,BK DPR hanya bs melakukan pengusutan & investigasi stelah menerima laporan publik thd pelanggaran etika angg dewan #UUMD3 #suapkemenpora,0
28,"#UUMD3 , the loser takes all, hanya ada di Indonesia.",0
29,#baleg Rapat Internal dgn para Tenaga Ahli ttg rencana usulan perubahan #UUMD3 (31 Agustus 2015) http://ht.ly/33yJwX ,1
30,#kom5 Sukur N @PDI_Perjuangan #jabar6: aspirasi menurut #UUMD3 itu legal. Dan kami apresiasi kerja sama dgn @kemenpu,1
31,"Anggto #DPR #Tersangka #Korupsi Menolak Diperiksa krn..http://tinyurl.com/ka29o7e  Krn #UUMD3, hasil karya #SBY #Demokrat #walkout Ingetkan???",0
32,Ini Alasan Mengapa UU MD3 Harus Segera Direvisi. #UUMD3 #Prolegnas #Lekslawyer #JakartaLawyer...http://fb.me/2Krt1LGKA ,1
33,@foiindonesia @fadjroeL @pusatparlemen @titianggraini @perludem »@hamdanzoelva«turut memuluskan  #UUMD3 menolak JR di MK,0
34,"""@foiindonesia: Siaran Pers Koalisi Masyarakat Sipil untuk #UUMD3 @fadjroeL @pusatparlemen @titianggraini pic.twitter.com/9PbZ7CPuHL""",1
35,Roy salam: penambahan hak Anggota DPR untuk apa? #UUMD3,0
36,Roy salam: Belum ada kesiapan anggota DPR mempertanggung jawabkan anggaran. #UUMD3,0
37,"UU MD3 Berlaku, Ketua DPR: DPR Tidak Kebal Hukum #UUMD3 #DPRRI
http://news.liputan6.com/read/3385248/uu-md3-berlaku-bamsoet-dpr-tidak-kebal-hukum …pic.twitter.com/MIIVnXofvv",0
38,"PDI Perjuangan DIY Apresiasi Upaya Uji Materi UU MD3 di MK

@PDIPDIY @kominfopdip #uumd3 #mk #mahkamahkonstitusi #ujimaterihttp://www.gesuri.id/pemerintahan/pdi-perjuangan-diy-apresiasi-upaya-uji-materi-uu-md3-di-mk-b1TvTZJs …",1
39,dengan tampilnya Ahmad Basarah dan Utut Adiyanto menunjukkan proses kaderisasi kepemimpinan Partai berjalan semakin baik dan sistemik @PDI_perjuangan #UUMD3 #MonitorNews http://m.monitor.co.id/berita/11685/pdip-tunjuk-ahmad-basarah-dan-utut-adianto-sebagai-pimpinan-mpr-dan-dpr …,1
40,"UUMD3 Bisa Digugat, Presiden Tak Perlu Terbitkan Perppu |  @IdPontas @pontas.ID https://fb.me/1GTUWKqJo ",0
41,PB PMII Gugat UU MD3 ke MK #pmii #uumd3 #mk #kilasnews http://kilasnews.co.id/2018/03/18/pb-pmi-gugat-uu-md3-ke-mk-2/ …,0
42,Ketua DPR: UU MD3 Tak Lindungi Anggota Dewan dari KPK  http://berlimanews.com/read/5850/Ketua-DPR-UU-MD3-Tak-Lindungi-Anggota-Dewan-dari-KPK … #Bamsoet #UUMD3 #KPK,1
43,"Setiap langkah dan keputusan ada resiko. Sebagai generasi zaman now, #pansusAngketKPK dan #UUMD3  membuat generasi zaman now tak simpatik dengan partai lama. Waspadalah @BPPemiluPDIP agar suara tak berpindah ke lain hati",0
44,UU NO 2/2018 MD3 Buah Amandemen UUD 1945 http://berlimanews.com/read/5841/UU-NO-22018-MD3-Buah-Amandemen-UUD-1945 … #UUMD3 #Prijanto #UUD45,1
45,Ayo belajar baca UUMD3 yg Bener.... https://twitter.com/rio_ramabaskara/status/975276309734506497 …,1
46,#TakAdaPerpu #TakAdaPemilu #Golput #MatiRasa #UUMD3 #TolakUUMD3 Mereka Bukan Wakil Rakyat Mereka Wakil Partai,0
47,Ini pasti si. ZONK... Komen gak ya. ? #UUMD3..,0
48,"uu md3 blm ada pencerahan ya prof? jgn sampai msyrkt malas memilih saat pemilu nanti, mohon dikasih pencerahan prof untuk raja dari sgala raja ini yang takut akan rakyatnya

#TakAdaPerpu #TakAdaPemilu #Golput #MatiRasa #UUMD3 #TolakUUMD3 #MerekaBukanWakilRakyat #MerekaWakilPartai",0
49,"Tak Ada Perpu, Tak Ada Pemilu, Golput, Mati Rasa #UUMD3 Tolak UUMD3 #MerekaBukanWakilRakyat #MerekaWakilPartai",0
50,"DPR bersikukuh bahwa mengkritik dan merendahkan adalah 2 hal berbeda. Seperti apa maksudnya?

#DPR #UUMD3 #Asumsihttp://bit.ly/2HCQH3h ",1
51,perlu diingat bahwa baik PDIP maupun Gerindra mendukung #UUMD3.,0
52,Presiden Jokowi tetap bersikeras untuk tidak menandatangani Revisi UUMD3 @jokowi @DPR_RI #UUMD3 #MonitorNews http://m.monitor.co.id/berita/11628/tolak-tandatangani-uu-md3-jokowi-dihujani-kritik …,1
53,"Perjuangan melalui ""Judicial Review"", perlu mendapat dukungan luas dari publik. Jadi harus disatukan antara advokasi hukum dan gerakan politik. #UUMD3 #JR #MK #JudicialReview #DPRhttps://www.bontangpost.id/read/2018/03/17/34336/dukung-judicial-review-uu-md3-mahasiswa-galang-dukungan-publik/ …",1
54,"Aneh tapi nyata, katanya partai baru visi baru
Tidak mendengarkan suara masyarakat menggugat #presidentialthreshold 
Namun meng atas namakan suara masyarakat menggugat #UUMD3
Lha presiden nya aja bingung tanda tangan...
https://twitter.com/Silvy_riau/status/974337096281292801?s=19 …",0
55,CERDAS! PENGAMAT ini BUNGKAM STAF KHUSUS DPR terkait PEMANGGILAN PAKSA bagi SIAPA yang MERENDAHKAN DPR #pasal122hurufk #uumd3 https://youtu.be/OSKh3ZoWwbY  via @YouTube,0
56,JADI ORANG YG CERDAS YA. SIAPAPUN PRESIDENNYA KLU DI INDONESIA MASIH SARANGNYA KORUPTOR. RAKYAT INDONESIA GAK BAKALAN BISA HIDUP SEJAHTERA. APALAGI KLU PRESIDENNYA PRO Dgn KORUPTOR. RAKYAT BISA TAMBAH SENGSARA,0
57,POLEM1K UU MD3 | JOKOWI disebut BALIK BADAN usai UU MD3 DISAHKAN DPR | RAKYAT MARAH BESAR #uumd3 #polemikuumd3 https://youtu.be/iNT7oiiyyT8  via @YouTube,0
58,"Semoga Rakyat tidak ditelantarkan oleh wakilnya dan mau didengar keluh kesahnya

#keluhanrakyat #rakyatindonesia #suararakyat #rakyatindonesiabersatu
#uumd3 #pilpres #pilpres2019pic.twitter.com/KAe5SGa9xk",1
59,"Walaupun ga diteken @jokowi, tinggal tunggu 30 hari.. Impor pasti berlaku sah! #UUMD3",1
60,"UUD 1945 Pasal 27 ayat 1
Segala warga negara bersamaan kedudukannya di dalam hukum...

#UUMD3 pasal 245 pemeriksaan anggota #dpr yg menghadapi kasus hukum hrs mendapat ""pertimbangan"" MKD 

lah klo MKD itu konco/makansuap si oknum dpr yg terlibat kasus gmn?https://twitter.com/AmaliaAmelCute2/status/974250692855476226 …",0
61,"#uumd3 dibikin krn #kupingtipis tdk mau dikritik rakyat

menurut #fahrihamzah klo ga #kupingtebal alias #kupingtipis jgn tinggal di Indonesia

jadi yg revisi #uumd3 jgn tinggal di Indonesia dong gmn nih @Fahrihamzahhttps://twitter.com/AmbarwatiRexy/status/973944857721892864 …",0
62,"Resmi Diterapkan, Ini Dampak Pasal Penghinaan UU MD3 #UUMD3 https://news.akurat.co/id-175781-read-resmi-diterapkan-ini-dampak-pasal-penghinaan-uu-md3 …",0
63,"Jika Serius Tolak UU MD3, Jokowi Ditantang Terbitkan Perpuu #UUMD3 #JokoWidodo >https://goo.gl/CQ5qwx ",1
64,"Jgn marah #UUMD3 disahkan, toh sblm itu pasal penghinaan presiden sudah sah dlu kan, jadi klo ada yg ngeluh demokrasi kita mnurun, come on...udah lama keleus",1
65,Jokowi dinilai tengah mainkan drama politik terkait UU MD3 #UUMD3 #Jokowi #Muhammadiyah >https://goo.gl/4Q1PZH ,0
66,Presiden Joko Widodo yang enggan menandatangani UU MD3 disebut sebagai 'drama' belaka @jokowi #UUMD3 #MonitorNews http://m.monitor.co.id/berita/11590/jokowi-dinilai-tengah-mainkan-drama-politik-terkait-uu-md3 …,0
67,"Pemerintah telah memberikan penomoran terhadap hasil revisi UU MD3 (Menkum dan HAM Yasonna H Laoly)
#uumd3
https://indopos.co.id/read/2018/03/16/131270/uu-md3-mulai-digugat-pemerintah-dituding-penipu …",1
68,Uji #UUMD3 #MD3YangMeresahkanpic.twitter.com/BaXfJ6E7rT,0
69,Sikap @jokowi yang tak mau menandatangani UU MD3 dinilai oleh Danhil Anzar sebagai bagian dari drama politik Jokowi. http://bit.ly/2GzmN0I  #Akuratco #News #UUMD3 pic.twitter.com/P7NUlAyJo3,0
70,MKD akan memastikan tidak mempersulit Presiden @DPR_RI #UUMD3 #MonitorNews http://m.monitor.co.id/berita/11583/mkd-tegaskan-uu-md3-tidak-akan-persulit-presiden …,1
71,Mhn ditindaklanjuti para penyebar hoax yg berlindung dg #uumd3 ,0
72,"yeess.. kemenangan rakyat..
anggota DPR wakil rakyat.. harus siap dikritik...
#dpr #dprantikritik oooo...tiddakk bissa...
#md3 #rakyat #menang ..
#uumd3",0
73,"Tjahjo Kumolo meminta DPR RI menerima dan mentaati putusan Mahkamah Konstitusi (MK) yang menganulir beberapa pasal kontroversial dalam UU MD3 (MPR, DPR, DPRD, dan DPD RI).

@tjahjo_kumolo @Kemendagri_RI #uumd3 #putusanmkhttps://www.gesuri.id/pemerintahan/menteri-tjahjo-minta-dpr-taati-putusan-mk-b1T1aZcJ6?utm_source=website …",1
74,"Terimakasih MK !

Permohonan uji materi UU MD3 dikabulkan MK, ini berarti DPR tidak bisa melakukan pemanggilan paksa dan juga tidak mempidanakan siapapun yang dianggap merendahkan martabat DPR.

#JudicialReview #Dpr #Mpr
#UuMd3 #Uu #Md3
#RakyatMenang #Merdekapic.twitter.com/O8THt49lcb",1
75,Sejumlah Keistimewaan DPR dalam UU MD3 Dibatalkan MK http://requisitoire-magazine.com/2018/06/29/sejumlah-keistimewaan-dpr-dalam-uu-md3-dibatalkan-mk/ … #sejumlah #keistimewaan #dpr #uumd3 #dibatalkan #mahkamahkonstitusi,1
76,"MK batalkan pasal UU MD3, anggota dewan enggan berkomentar http://nasional.kontan.co.id/news/mk-batalkan-pasal-uu-md3-anggota-dewan-enggan-berkomentar … #UUMD3",1
77,"MK batalkan UU MD3, anggota DPR yang melakukan tindak pidana dapat diganti http://nasional.kontan.co.id/news/mk-batalkan-uu-md3-anggota-dpr-yang-melakukan-tindak-pidana-dapat-diganti … #UUMD3",1
78,Uji Materi UU MD3: Putusan MK Kemenangan Rakyat atas DPR #UUMD3 http://jpnn.com/news/uji-materi-uu-md3-putusan-mk-kemenangan-rakyat-atas-dpr …,1
79,MK Batalkan Wewenang DPR Lakukan Pemanggilan Paksa  http://berlimanews.com/read/8191/MK-Batalkan-Wewenang-DPR-Lakukan-Pemanggilan-Paksa … #MahkamahKonstitusi #UUMD3,1
80,"Manusia & drama. Ada yang suka menciptakan, ada yang suka berada di dalamnya dan ada juga yang tidak sadar bahwa dia menyukainya. This welcome  .

#UUMD3
#pilkada
#daruratdemokrasi @… https://www.instagram.com/p/Bkcob4aFDL6/?utm_source=ig_twitter_share&igshid=1s938m2us1l6y …",0
81,"Akankah Ronny menjadi korban pertama UU MD3?
#KeadilanUntukRonny
#UUMD3
Celah Anggota DPR Herman Hery Lolos dari Jerat Kasus Penganiayaan https://tir.to/n/cMH2  via @TirtoID",0
82,Mahkamah Konstitusi gelar sidang lanjutan uji UU MD3 - http://elshinta.com/news/145269/2018/05/15/mahkamah-konstitusi-gelar-sidang-lanjutan-uji-uu-md3 … #UUMD3 #MK #ElshintaNewsUpdate,1
83,Mervin Optimis Produk Perda Akan Mengacu pada Kearifan Lokal https://www.jpnn.com/news/mervin-optimis-produk-perda-akan-mengacu-pada-kearifan-lokal … #DPDRI #AnggotaDPDRI #MervinSadipunKomber #UUMD3 #Fakfak lewat @jpnncom @DPDRI #DPDRI,1
84,"Soal #UUMD3, Pemerintah Tak Kalah dengan #DPR https://pontas.id/2018/05/05/soal-uu-md3-pemerintah-tak-kalah-dengan-dpr/ … lewat @IdPontas @pontas.ID",1
85,"dah dari zaman dulu kale

cm masalahnya tuh para maling alias #koruptor maling triliunan yg seharusnya sdh bisa memajukan ekonomi rakyat Indonesia 

tanya kenapa?

krn dpr tdk mau bikin uu #hukumanmati buat #koruptor

dpr malah melawan @KPK_RI dgn pansus
dpr bikin #uumd3 https://twitter.com/detikcom/status/987572188818456576 …",0
86,"Di Indonesia lagi trend pengalihan isu/mslh, mslh yg besar seakan"" hanyut dgn mslh kecil, misal dari mslh ektp, Mslh novelbaswedan _isu #LGBT _isu #PKI _mslh #uumd3 _mslh chatsex _mslh #narkoba _mslh #puisisukmawati _mslh kitab suci #Fiksi

Jadi mslh mana yg hrs dibahas?",0
87,#MK Kembali Gelar Sidang Uji #UUMD3 |  @IdPontas @pontas.IDhttps://pontas.id/2018/04/11/mk-kembali-gelar-sidang-uji-uu-md3/ …,1
88,MK Gelar Tiga Sidang Perkara Pengujian UU MD3 http://www.netralnews.com//news/hukum/read/135347/mk.gelar.tiga.sidang.perkara.pengujian.u … @MK_RI #Hukum #MK #UUMD3,1
89,MK Gelar Sidang Lanjutan Uji UU MD3 https://goo.gl/fb/C2UfpQ  #jambi #serujambi #serunesia #uumd3,1
90,Kayaknya si wakil rakyat sengaja mancing2 komentar (HATESPEECH) dari netizen utk uji #UUMD3 #dprRI,0
91,"#dpr jgn ngeluh klo masyarakat anggap tdk pantas dihormati

#uumd3 ""melindungi"" dpr berbuat hal2 melawan hukum https://twitter.com/9111_dans/status/979552906046328832 …",0
92,"#uumd3 bertentangan dengan uud45 bahwa kemerdekaan berserikat dan berkumpul, mengeluarkan pikiran dengan lisan dan tulisan dan sebagainya ditetapkan dengan undang-undang.

#uumd3 bertentangan dgn azas equality before the law alias semua orang sama di depanhukum

ahh #fahrihamzahhttps://twitter.com/tribunnews/status/979884819118153728 …",0
93,"uumd3 jd tameng dpr melakukan hal2 tdk terpuji seperti melontarkan kata bangsat

semoga langsung dpt hukuman dari atasannnya Allah Yang Mahakuasa di alam semesta inihttps://twitter.com/TheArieAir/status/979670961908629505 …",0
94,"UU MD3 Mengatur Penyanderaan, Di Mana Logika Hukum DPR? #KlikRMOL #uuMD3 http://politik.rmol.co/read/2018/03/30/333215/UU-MD3-Mengatur-Penyanderaan,-Di-Mana-Logika-Hukum-DPR-- …",0
95,"DPD RI Siapkan Aturan untuk Penambahan Satu Kursi Pimpinan 
https://www.jpnn.com/news/dpd-ri-siapkan-aturan-untuk-penambahan-satu-kursi-pimpinan … #DPDRI #penambahankursipimpinan #BadankehormatanDPDRI #MervinSadipunKomber #UUMD3 #Jakarta lewat @jpnncom @DPDRI #DPDRI",1
96,"Oh oke, mulai sekarang cita2 saya mw jadi anggota DPR aja....
@LawyersComm #Hukum #UUMD3 #HAMpic.twitter.com/rOoi9AGPoh",0
97,fahri: Magang Ke Jepang Kesempatan Emas,1
98,Kosgoro 1957 Dorong Golkar Amandemen UU MD3 #KlikRMOL #uumd3 http://politik.rmol.co/read/2018/03/29/332941/Kosgoro-1957-Dorong-Golkar-Amandemen-UU-MD3- …,1
99,"Ironisnya, quote progresif kayak gini ditweet oleh DPR yang sama sekali ga mewakili Vox Populi.
Misalnya, tanpa malu mengesahkan #UUMD3
#BumiItuJajargenjanghttps://twitter.com/DPR_RI/status/979008337478995968 …",0
100,"Menyampaikan kritik dengan sopan, pada waktu dan tempat yang tepat kan bisa dan boleh2 saja. Ga masalah harusnya untuk kedua belah pihak, kecuali memang udah kelewatan banget caranya. Tergantung masing2 pihak menyikapinya dalam konteks yang sewajarnya. #UUMD3",1
101,Agung Laksono Dorong Golkar Pelopori Amendemen UU MD3 #UUMD3 http://jpnn.com/news/agung-laksono-dorong-golkar-pelopori-amendemen-uu-md3 … #ProfAndalanPilihanKu,1
102,"Gamparin org,nyulik bini org,makan ga bayar,dll,kl hakim vonis <5 thn,meski Inkracht van gewijsde,ya ga mslh buat pimpinan DPR.
#UUMD3",0
103,"Jadi Tersangka, Novanto Sebagai Ketua DPR Tidak Mundur Merujuk UU MD3
#SetyaNovanto #KetuaDPR #UUMD3
http://www.berita168.com/jadi-tersangka-novanto-sebagai-ketua-dpr-tidak-mundur-merujuk-uu-md3/ … via @berita168",0
104,"Polri Tolak Hadirkan Miryam di Pansus, DPR Ancam Stop Anggaran KPK dan Polri

#KPK #DPR #Polri #UUMD3
http://www.berita168.com/polri-tolak-hadirkan-miryam-di-pansus-dpr-ancam-stop-anggaran-kpk-dan-polri/ … via @berita168",0
105,"KPK Minta DPR Tunjukkan Surat Keabsahan Pansus Angket

#KPK #DPR #PansusAngket #MiryamHaryani #UUMD3
http://www.berita168.com/kpk-minta-dpr-tunjukkan-surat-keabsahan-pansus-angket/ … via @berita168",1
106,"KPK Tolak Hadirkan Miryam, Pansus DPR: 3 Kali Tak Hadir, Jemput Paksa

#DPR #KPK #PansusAngket #UUMD3
http://www.berita168.com/kpk-tolak-hadirkan-miryam-pansus-dpr-3-kali-tak-hadir-jemput-paksa/ … via @berita168",0
107,"PKS Kritik Wacana Revisi UU MD3 - Wajibkan Fraksi Kirim Wakil ke Angket KPK

#PKS #UUMD3 #FraksiDPR
http://www.berita168.com/pks-kritik-wacana-revisi-uu-md3-yang-wajibkan-fraksi-kirim-wakil-ke-angket-kpk/ … via @berita168",1
108,"Aneh, DPR Terkesan Tidak Mau DPD Terlibat@DPDRI #DPDRI http://m.jpnn.com/news/aneh-dpr-terkesan-tidak-mau-dpd-terlibat … #RUUPenyelenggaraanPemilu #UuMd3 #Jakarta lewat @jpnncom",0
109,Wow! Anggota DPR Pengin Kebal Hukum #UuMd3 http://jpnn.com/news/wow-anggota-dpr-pengin-kebal-hukum …,0
110,"Termasuk undang-udang jangan direkayasa, harus dari suara rakyat #UUMD3",1
